,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
503,Buryatia Republic,Russia,2021-04-01 04:27:05,52.7182426,109.492143,36006,785,34392.0,829.0,"Buryatia Republic, Russia",3657.2471003371215,2.180192190190524
504,Chechen Republic,Russia,2021-04-01 04:27:05,43.39761470000001,45.6985005,11657,116,11328.0,213.0,"Chechen Republic, Russia",811.2146228794953,0.9951102341940464
505,Chelyabinsk Oblast,Russia,2021-04-01 04:27:05,54.4223954,61.1865846,55396,1222,50488.0,3686.0,"Chelyabinsk Oblast, Russia",1585.898341729086,2.205935446602642
506,Chukotka Autonomous Okrug,Russia,2021-04-01 04:27:05,66.0006475,169.4900869,733,5,691.0,37.0,"Chukotka Autonomous Okrug, Russia",1485.369214557834,0.6821282401091405
507,Chuvashia Republic,Russia,2021-04-01 04:27:05,55.4259922,47.0849429,22792,1219,20796.0,777.0,"Chuvashia Republic, Russia",1851.3268844472127,5.3483678483678485
508,Dagestan Republic,Russia,2021-04-01 04:27:05,43.05749160000001,47.1332224,31050,1410,28719.0,921.0,"Dagestan Republic, Russia",1013.4192373408272,4.541062801932367
509,Ingushetia Republic,Russia,2021-04-01 04:27:05,43.11542075,45.01713552,15120,181,13403.0,1536.0,"Ingushetia Republic, Russia",3098.08766850462,1.197089947089947
510,Irkutsk Oblast,Russia,2021-04-01 04:27:05,56.6370122,104.719221,61581,2010,58655.0,916.0,"Irkutsk Oblast, Russia",2561.3978899382123,3.2639937643104204
511,Ivanovo Oblast,Russia,2021-04-01 04:27:05,56.9167446,41.43521370000001,32556,1039,31025.0,492.0,"Ivanovo Oblast, Russia",3208.606745603885,3.191424007863374
512,Jewish Autonomous Okrug,Russia,2021-04-01 04:27:05,48.57527615,132.66307460000002,4431,125,4230.0,76.0,"Jewish Autonomous Okrug, Russia",2734.948831582456,2.8210336267208307
513,Kabardino-Balkarian Republic,Russia,2021-04-01 04:27:05,43.4806048,43.5978976,22792,418,21680.0,694.0,"Kabardino-Balkarian Republic, Russia",2632.3935007876853,1.833976833976834
514,Kaliningrad Oblast,Russia,2021-04-01 04:27:05,54.7293041,21.1489473,30240,334,27903.0,2003.0,"Kaliningrad Oblast, Russia",3040.4213155251514,1.1044973544973544
515,Kalmykia Republic,Russia,2021-04-01 04:27:05,46.2313018,45.3275745,19952,315,19094.0,543.0,"Kalmykia Republic, Russia",7244.392966199853,1.5787890938251803
516,Kaluga Oblast,Russia,2021-04-01 04:27:05,54.4382773,35.5272854,32345,281,30156.0,1908.0,"Kaluga Oblast, Russia",3195.969392998016,0.868758695316123
517,Kamchatka Krai,Russia,2021-04-01 04:27:05,57.1914882,160.03838190000005,14120,201,13212.0,707.0,"Kamchatka Krai, Russia",4474.627404874555,1.4235127478753542
518,Karachay-Cherkess Republic,Russia,2021-04-01 04:27:05,43.7368326,41.7267991,19680,71,18785.0,824.0,"Karachay-Cherkess Republic, Russia",4220.413677743108,0.3607723577235772
519,Karelia Republic,Russia,2021-04-01 04:27:05,62.61940309999999,33.4920267,43859,388,41342.0,2129.0,"Karelia Republic, Russia",7045.803586919503,0.8846530928657744
520,Kemerovo Oblast,Russia,2021-04-01 04:27:05,54.53357809999999,87.342861,33258,612,32372.0,274.0,"Kemerovo Oblast, Russia",1234.1194050785991,1.8401587587948764
